link,index,title,artist,rating,has_audio,has_video,date,uploader,total_downloads
patches.php?mode=show&unit=G3&ID=6776,6776,SV & KL g2.1nu para G3 ( zip file ),SV & KL,2.5,False,False,2013-02-21,Bassergio,1001
patches.php?mode=show&unit=G3&ID=6764,6764,John Petrucci Clean,John Petrucci,4.6,False,False,2013-02-19,Andre-RJ,2820
patches.php?mode=show&unit=G3&ID=6765,6765,John Petrucci Clean Flanger,John Petrucci Clean Flanger,4.5,False,False,2013-02-19,Andre-RJ,2254
patches.php?mode=show&unit=G3&ID=6766,6766,John Petrucci Acoustic Piezo,John Petrucci,4.2,False,False,2013-02-19,Andre-RJ,2435
patches.php?mode=show&unit=G3&ID=6767,6767,John Petrucci Mesa Boogie Lead,John Petrucci,4.0,False,False,2013-02-19,Andre-RJ,4101
patches.php?mode=show&unit=G3&ID=6763,6763,Shred High Gain 3,Steve Vai,2.0,False,False,2013-02-18,Tom,1682
patches.php?mode=show&unit=G3&ID=6752,6752,House Of The Rising Sun,Amimals,2.5,False,False,2013-02-17,Gerard,1631
patches.php?mode=show&unit=G3&ID=6745,6745,Shred High Gain 2,Steve Vai,2.0,False,False,2013-02-15,Tom,1458
patches.php?mode=show&unit=G3&ID=6743,6743,My own patch,Myself,1.0,False,False,2013-02-14,Myself,845
patches.php?mode=show&unit=G3&ID=6744,6744,Children Of Bodom,Children Of Bodom,3.3,False,False,2013-02-14,Dazter1000,1698
patches.php?mode=show&unit=G3&ID=6740,6740,"Always with you, always with me",joe satriani,4.0,False,False,2013-02-13,Jethro viloria,2972
patches.php?mode=show&unit=G3&ID=6742,6742,Shred High Gain,Steve Vai,2.5,False,False,2013-02-13,Tom,1591
patches.php?mode=show&unit=G3&ID=6738,6738,Nothing Else Matters,Metallica,4.2,True,False,2013-02-09,Exon17,3308
patches.php?mode=show&unit=G3&ID=6734,6734,Slash-Sweet Child O' Mine,Slash,4.0,False,False,2013-02-07,Slash?,4111
patches.php?mode=show&unit=G3&ID=6730,6730,Metalcore,Bullet For My Valentine,4.0,False,False,2013-02-05,Dazter1000,2124
patches.php?mode=show&unit=G3&ID=6718,6718,Comfortably Numb,Pink Floyd,4.0,True,False,2013-02-03,Thunfischdose,5906
patches.php?mode=show&unit=G3&ID=6719,6719,Shine on you crazy diamond,Pink Floyd,4.2,True,False,2013-02-03,Thunfischdose,6607
patches.php?mode=show&unit=G3&ID=6717,6717,Mad Metal,Darkharian,4.0,True,False,2013-02-01,Darkharian,1469
patches.php?mode=show&unit=G3&ID=6710,6710,for the love of god,Steve vai,3.3,True,False,2013-01-28,g3X,5070
patches.php?mode=show&unit=G3&ID=6702,6702,Wherever I may roam,MeTaLLicA,5.0,False,False,2013-01-24,Ubr7,2077
patches.php?mode=show&unit=G3&ID=6696,6696,boulevard of broken dream,green day,3.5,False,False,2013-01-23,adi_mulya,1726
patches.php?mode=show&unit=G3&ID=6694,6694,Shine on you -  Synth sound,Pink Floyd,4.0,False,True,2013-01-22,daymmon,2429
patches.php?mode=show&unit=G3&ID=6685,6685,Smoke on the water,Deep purple,5.0,False,False,2013-01-16,IAmTheOne,3530
patches.php?mode=show&unit=G3&ID=6679,6679,La Grange 1st Solo Updated,ZZ Top,3.0,False,True,2013-01-14,theFendersfine,1799
patches.php?mode=show&unit=G3&ID=6680,6680,La Grange 2nd Solo,ZZ Top,1.0,False,True,2013-01-14,TheFendersfine,1360
patches.php?mode=show&unit=G3&ID=6634,6634,Sanitarium - Clean,Limp Bizkit,3.0,False,False,2013-01-04,Ubr7,1422
patches.php?mode=show&unit=G3&ID=6610,6610,BOOWY,TOMOYASU_HOTEI,4.0,False,False,2012-12-28,Tomoharu,1490
patches.php?mode=show&unit=G3&ID=6591,6591,Gasoline,Audioslave,4.0,False,False,2012-12-26,Ben Neb Neb,1384
patches.php?mode=show&unit=G3&ID=6592,6592,The Soundtrack From The Film The Song Remains The ,Led Zeppelin,4.0,False,False,2012-12-26,Page 1,1408
patches.php?mode=show&unit=G3&ID=6584,6584,Can't Buy Me Love,The Beatles,4.0,False,False,2012-12-24,George,1454
patches.php?mode=show&unit=G3&ID=6585,6585,CASE OF BOOWY CLEAN,BOOWY,1.0,False,False,2012-12-24,Hotei,1500
patches.php?mode=show&unit=G3&ID=6586,6586,CASE OF BOOWY OD,BOOWY,2.0,False,False,2012-12-24,Hotei,1309
patches.php?mode=show&unit=G3&ID=6587,6587,CASE OF BOOWY DS,BOOWY,5.0,False,False,2012-12-24,Hotei,1331
patches.php?mode=show&unit=G3&ID=6588,6588,CASE OF BOOWY ER,BOOWY,5.0,False,False,2012-12-24,Hotei,1129
patches.php?mode=show&unit=G3&ID=6578,6578,I Want To Hold Your Hand,The Beatles,4.0,False,False,2012-12-23,George,1465
patches.php?mode=show&unit=G3&ID=6579,6579,I've Got A Feeling,The Beatles,1.0,False,False,2012-12-23,George,1092
patches.php?mode=show&unit=G3&ID=6581,6581,I've Got A Feeling,The Beatles,1.0,False,False,2012-12-23,John,820
patches.php?mode=show&unit=G3&ID=6582,6582,Birthday,The Beatles,4.5,False,False,2012-12-23,George,1152
patches.php?mode=show&unit=G3&ID=6575,6575,Whales in the ocean,daymmon,3.0,False,True,2012-12-22,daymmon,1006
patches.php?mode=show&unit=G3&ID=6576,6576,The Big Blue,daymmon,5.0,False,True,2012-12-22,daymmon,989
patches.php?mode=show&unit=G3&ID=6577,6577,Organ in the ocean,daymmon,3.0,False,True,2012-12-22,daymmon,1095
patches.php?mode=show&unit=G3&ID=6573,6573,King For A Day,Faith No More,5.0,False,False,2012-12-21,Ben Neb Neb,1321
patches.php?mode=show&unit=G3&ID=6555,6555,God save the qeen,Sex Pistols,3.5,False,False,2012-12-09,IAmTheOne,1825
patches.php?mode=show&unit=G3&ID=6556,6556,Всё идет,Гражданская обо&,5.0,False,False,2012-12-09,IAmTheOne,1032
patches.php?mode=show&unit=G3&ID=6557,6557,Звезда п,Кино,5.0,False,False,2012-12-09,IAmTheOne,907
patches.php?mode=show&unit=G3&ID=6558,6558,Iron Man,Black Sabbath,4.5,False,False,2012-12-09,IAmTheOne,2896
patches.php?mode=show&unit=G3&ID=6497,6497,LEO BRAVO - MEU TIMBRE VOX CRUNCH ZOOM G3,LEO BRAVO,3.0,False,False,2012-11-21,LEO BRAVO,1069
patches.php?mode=show&unit=G3&ID=6498,6498,LEO BRAVO -  TIMBRE VOX SOLO ZOOM G3,LEO BRAVO,4.5,False,False,2012-11-21,LEO BRAVO,1056
patches.php?mode=show&unit=G3&ID=6499,6499,LEO BRAVO - MEU TIMBRE FENDER CRUNCH G3,LEO BRAVO,3.0,False,False,2012-11-21,LEO BRAVO,989
patches.php?mode=show&unit=G3&ID=6500,6500,MEU TIMBRE fender solo ZOOM G3,LEO BRAVO,5.0,False,False,2012-11-21,LEO BRAVO,1108
patches.php?mode=show&unit=G3&ID=6501,6501,LEO BRAVO - MEU TIMBRE MARSHALL 1959 BASE G3,LEO BRAVO,5.0,False,False,2012-11-21,LEO BRAVO,1483
patches.php?mode=show&unit=G3&ID=6490,6490,Us & Them,Pink Floyd,1.0,False,True,2012-11-20,daymmon,1697
patches.php?mode=show&unit=G3&ID=6491,6491,Breathe,Pink Floyd,4.0,False,True,2012-11-20,daymmon,2260
patches.php?mode=show&unit=G3&ID=6492,6492,Time (solo),Pink Floyd,4.5,False,True,2012-11-20,daymmon,2348
patches.php?mode=show&unit=G3&ID=6493,6493,Sweet Disposition,The Temper Trap,2.0,False,True,2012-11-20,daymmon,1041
patches.php?mode=show&unit=G3&ID=6459,6459,Recording Tone,Me,5.0,False,True,2012-11-09,DeathandHealing,1149
patches.php?mode=show&unit=G3&ID=6460,6460,EVH.Old,Van Halen,3.0,False,False,2012-11-09,Tomoharu,1600
patches.php?mode=show&unit=G3&ID=6461,6461,EVH1984,Van Halen,4.0,False,False,2012-11-09,Tomoharu,1852
patches.php?mode=show&unit=G3&ID=6462,6462,Nuno,Nuno,2.5,False,False,2012-11-09,Tomoharu,1431
patches.php?mode=show&unit=G3&ID=6458,6458,Brown sugar - start me up,The Rolling Stone,4.0,False,True,2012-11-08,daymmon,3765
patches.php?mode=show&unit=G3&ID=6451,6451,Hossana,Hillsong,3.4,False,False,2012-11-06,Juan Pereira,2240
patches.php?mode=show&unit=G3&ID=6452,6452,Overdrive,Me,3.7,False,False,2012-11-06,Juan Pereira,1651
patches.php?mode=show&unit=G3&ID=6453,6453,My Mistakes Were Made For You,The Last Shadow Puppets,3.8,False,True,2012-11-06,Juan Pereira,1441
patches.php?mode=show&unit=G3&ID=6454,6454,Zona de Promesas,Soda Stereo - Gustavo Cerati,5.0,False,True,2012-11-06,Juan Pereira,1100
patches.php?mode=show&unit=G3&ID=6455,6455,Funk,Me,1.0,False,False,2012-11-06,Juan Pereira,1536
patches.php?mode=show&unit=G3&ID=6440,6440,David Gilmour,David Gilmour,3.7,False,False,2012-11-02,db,3323
patches.php?mode=show&unit=G3&ID=6413,6413,Jamie All Over,Mayday Parade,1.0,False,False,2012-10-22,nrebua,878
patches.php?mode=show&unit=G3&ID=6389,6389,vlad the impaler,kasabian,1.0,False,False,2012-10-16,mynamesucks_,836
patches.php?mode=show&unit=G3&ID=6380,6380,Surf style,--,4.0,False,True,2012-10-13,daymmon,1444
patches.php?mode=show&unit=G3&ID=6381,6381,My favorite tone so far.,Me,1.0,False,True,2012-10-13,DeathandHealing,1292
patches.php?mode=show&unit=G3&ID=6361,6361,"style Jimi, clean vibe fuzz",Jimi Hendrix,3.8,False,True,2012-10-04,daymmon,3373
patches.php?mode=show&unit=G3&ID=6352,6352,Every Breath You Take,Police,4.3,False,False,2012-09-30,ivaneffect,5359
patches.php?mode=show&unit=G3&ID=6350,6350,Apache / FBI,The Shadows,3.0,False,False,2012-09-29,xilex81,2172
patches.php?mode=show&unit=G3&ID=6344,6344,Sweet Child O' Mine (by TuLiO),Guns N' Roses,4.6,True,False,2012-09-28,TuLiO,8780
patches.php?mode=show&unit=G3&ID=6345,6345,The Trooper,Iron Maiden,3.8,True,False,2012-09-28,Biz,7304
patches.php?mode=show&unit=G3&ID=6341,6341,Pop-punk Punk-Rock,The Ambassadors,4.5,False,False,2012-09-25,siopao,1555
patches.php?mode=show&unit=G3&ID=6342,6342,Acoustic,Secondhand Serenade,3.0,False,False,2012-09-25,siopao,2322
patches.php?mode=show&unit=G3&ID=6291,6291,Echoes- guitar solo,Pink Floyd,4.0,False,False,2012-09-13,daymmon,2262
patches.php?mode=show&unit=G3&ID=6292,6292,Samba Pa Ti,Santana,2.7,False,False,2012-09-13,daymmon,2997
patches.php?mode=show&unit=G3&ID=6293,6293,Europa,Santana,1.0,False,False,2012-09-13,daymmon,3597
patches.php?mode=show&unit=G3&ID=6287,6287,Shine on you crazy - part 1,Pink Floyd,3.0,False,False,2012-09-12,daymmon,2150
patches.php?mode=show&unit=G3&ID=6288,6288,Shine on you crazy - part 2,Pink Floyd,4.5,False,False,2012-09-12,daymmon,1770
patches.php?mode=show&unit=G3&ID=6289,6289,Another Brick in the wall - part 2,Pink Floyd,3.5,False,False,2012-09-12,daymmon,4558
patches.php?mode=show&unit=G3&ID=6275,6275,Where the streets have no nam,U2,3.3,False,False,2012-09-10,daymmon,2377
patches.php?mode=show&unit=G3&ID=6276,6276,Still havent found,U2,4.0,False,False,2012-09-10,daymmon,2428
patches.php?mode=show&unit=G3&ID=6277,6277,Pride,U2,3.0,False,False,2012-09-10,daymmon,2158
patches.php?mode=show&unit=G3&ID=6278,6278,With or without,U2,3.0,False,False,2012-09-10,daymmon,3216
patches.php?mode=show&unit=G3&ID=6279,6279,In god s countr,U2,3.5,False,False,2012-09-10,daymmon,1289
patches.php?mode=show&unit=G3&ID=6280,6280,Bad,U2,4.0,False,False,2012-09-10,daymmon,1526
patches.php?mode=show&unit=G3&ID=6281,6281,Mysterious way,U2,3.3,False,False,2012-09-10,daymmon,2261
patches.php?mode=show&unit=G3&ID=6261,6261,Rock General,Rock General,5.0,False,False,2012-09-03,AlexRothwell,1661
patches.php?mode=show&unit=G3&ID=6262,6262,Clean/Acoustic,Clean/Acoustic,4.3,False,False,2012-09-03,AlexRothwell,4521
patches.php?mode=show&unit=G3&ID=6259,6259,Randy Rhoads tone,Randy Rhoads,1.0,False,False,2012-08-31,Cotoletta,1911
patches.php?mode=show&unit=G3&ID=6230,6230,hillsong overdrive,Hillsong,3.5,False,False,2012-08-22,nrebua,2535
patches.php?mode=show&unit=G3&ID=6232,6232,hossanna,Hillsong,4.0,False,False,2012-08-22,nrebua,1398
patches.php?mode=show&unit=G3&ID=6233,6233,shimmer volume swell,n/a,1.0,False,False,2012-08-22,nrebua,1421
patches.php?mode=show&unit=G3&ID=6234,6234,pop-punk,paramore/all time low,2.0,False,False,2012-08-22,nrebua,1514
patches.php?mode=show&unit=G3&ID=6209,6209,Petrucci Rhythm Tone,John Petrucci / Dream Theater,4.5,False,False,2012-08-13,ozangenc,4451
